title = "Plot for node 200035"
VARIABLES =  "Time""Displacement X ""Displacement Y ""Displacement Z ""Displacement Al""Displacement Be""Displacement Ga"
ZONE T= "ONE"  I=  5001  F=POINT
  0.2559849E+01 -0.1670810E-01  0.5022246E-02 -0.5297682E+00 -0.1505632E+01  0.1660117E+01 -0.3155439E-01
  0.2580058E+01 -0.8373753E-02  0.4957373E-02 -0.5343739E+00 -0.1505340E+01  0.1660692E+01 -0.3065645E-01
  0.2599749E+01  0.9990422E-03  0.4859070E-02 -0.5322458E+00 -0.1504938E+01  0.1660772E+01 -0.2965393E-01
  0.2619959E+01  0.1077274E-01  0.4659955E-02 -0.5252130E+00 -0.1504465E+01  0.1660196E+01 -0.2953099E-01
  0.2640168E+01  0.1848987E-01  0.4189726E-02 -0.5119973E+00 -0.1504075E+01  0.1659106E+01 -0.2945807E-01
  0.2659859E+01  0.2229954E-01  0.3504199E-02 -0.4906635E+00 -0.1503892E+01  0.1658451E+01 -0.2767440E-01
  0.2680069E+01  0.2233820E-01  0.2717955E-02 -0.4605435E+00 -0.1503918E+01  0.1658827E+01 -0.2342815E-01
  0.2699760E+01  0.2038135E-01  0.1971404E-02 -0.4282025E+00 -0.1504048E+01  0.1659517E+01 -0.1888005E-01
  0.2719969E+01  0.1935154E-01  0.1358691E-02 -0.3975510E+00 -0.1504083E+01  0.1659883E+01 -0.1630625E-01
  0.2740178E+01  0.2102420E-01  0.1015356E-02 -0.3707875E+00 -0.1503868E+01  0.1660067E+01 -0.1512104E-01
  0.2759869E+01  0.2343595E-01  0.8130122E-03 -0.3473383E+00 -0.1503572E+01  0.1659936E+01 -0.1425536E-01
  0.2780079E+01  0.2339682E-01  0.4860341E-03 -0.3244730E+00 -0.1503470E+01  0.1659343E+01 -0.1392745E-01
  0.2799770E+01  0.2025405E-01  0.2210658E-04 -0.3010463E+00 -0.1503592E+01  0.1658921E+01 -0.1237020E-01
  0.2819979E+01  0.1616050E-01 -0.3900158E-03 -0.2768098E+00 -0.1503726E+01  0.1659090E+01 -0.8214020E-02
  0.2840189E+01  0.1343111E-01 -0.5800614E-03 -0.2602598E+00 -0.1503742E+01  0.1659487E+01 -0.5423339E-02
  0.2859880E+01  0.1203004E-01 -0.5467896E-03 -0.2574738E+00 -0.1503717E+01  0.1659598E+01 -0.8417569E-02
  0.2880089E+01  0.9887493E-02 -0.3020237E-03 -0.2619291E+00 -0.1503775E+01  0.1659329E+01 -0.1524425E-01
  0.2899780E+01  0.5112204E-02 -0.1395429E-03 -0.2588812E+00 -0.1503972E+01  0.1658811E+01 -0.1882698E-01
  0.2919990E+01 -0.2749939E-02 -0.4167924E-03 -0.2394533E+00 -0.1504292E+01  0.1658173E+01 -0.1573496E-01
  0.2940199E+01 -0.1128757E-01 -0.9327305E-03 -0.2089808E+00 -0.1504620E+01  0.1657489E+01 -0.8930774E-02
  0.2959890E+01 -0.1690433E-01 -0.1227846E-02 -0.1809453E+00 -0.1504794E+01  0.1656821E+01 -0.3728473E-02
  0.2980099E+01 -0.1767213E-01 -0.1221473E-02 -0.1628013E+00 -0.1504716E+01  0.1656456E+01 -0.2139239E-02
  0.2999791E+01 -0.1395151E-01 -0.1077005E-02 -0.1565352E+00 -0.1504424E+01  0.1656703E+01 -0.3457619E-02
  0.3020000E+01 -0.8145656E-02 -0.9126844E-03 -0.1577375E+00 -0.1504064E+01  0.1657405E+01 -0.5635030E-02
  0.3040209E+01 -0.3268535E-02 -0.7654906E-03 -0.1622782E+00 -0.1503828E+01  0.1658333E+01 -0.6965377E-02
  0.3059900E+01 -0.4969408E-03 -0.6517259E-03 -0.1687428E+00 -0.1503775E+01  0.1659322E+01 -0.7443344E-02
  0.3080110E+01  0.1375594E-02 -0.5327991E-03 -0.1787906E+00 -0.1503797E+01  0.1659917E+01 -0.8812129E-02
  0.3099801E+01  0.3610731E-02 -0.3345646E-03 -0.1913714E+00 -0.1503757E+01  0.1659748E+01 -0.1185726E-01
  0.3120010E+01  0.6030447E-02 -0.6679593E-04 -0.2026542E+00 -0.1503635E+01  0.1659298E+01 -0.1456367E-01
  0.3140220E+01  0.6680238E-02  0.1220808E-03 -0.2084670E+00 -0.1503572E+01  0.1659171E+01 -0.1477114E-01
  0.3159911E+01  0.4514550E-02  0.2080524E-03 -0.2100643E+00 -0.1503687E+01  0.1659381E+01 -0.1367081E-01
  0.3180120E+01  0.6450899E-03  0.3200819E-03 -0.2113328E+00 -0.1503908E+01  0.1659741E+01 -0.1290978E-01
  0.3199811E+01 -0.2533309E-02  0.5390763E-03 -0.2150365E+00 -0.1504052E+01  0.1660017E+01 -0.1284550E-01
  0.3220020E+01 -0.4289536E-02  0.8930160E-03 -0.2231244E+00 -0.1504066E+01  0.1659877E+01 -0.1413860E-01
  0.3240230E+01 -0.5798939E-02  0.1363138E-02 -0.2347818E+00 -0.1504053E+01  0.1659136E+01 -0.1752133E-01
  0.3259921E+01 -0.9138261E-02  0.1802930E-02 -0.2445424E+00 -0.1504155E+01  0.1658173E+01 -0.2102348E-01
  0.3280130E+01 -0.1555595E-01  0.2005050E-02 -0.2471553E+00 -0.1504434E+01  0.1657555E+01 -0.2154150E-01
  0.3299821E+01 -0.2367616E-01  0.1980821E-02 -0.2434722E+00 -0.1504814E+01  0.1657659E+01 -0.1918897E-01
  0.3320031E+01 -0.3138800E-01  0.2044262E-02 -0.2409483E+00 -0.1505195E+01  0.1658317E+01 -0.1830103E-01
  0.3340240E+01 -0.3623058E-01  0.2400189E-02 -0.2439864E+00 -0.1505446E+01  0.1659033E+01 -0.2209350E-01
  0.3359931E+01 -0.3780669E-01  0.2906955E-02 -0.2459830E+00 -0.1505499E+01  0.1659472E+01 -0.2790298E-01
  0.3380141E+01 -0.3775386E-01  0.3177233E-02 -0.2347547E+00 -0.1505396E+01  0.1659604E+01 -0.3088662E-01
  0.3399832E+01 -0.3812573E-01  0.2872814E-02 -0.2040107E+00 -0.1505261E+01  0.1659392E+01 -0.2839997E-01
  0.3420041E+01 -0.3978196E-01  0.2101791E-02 -0.1555116E+00 -0.1505182E+01  0.1658889E+01 -0.2187906E-01
  0.3440250E+01 -0.4150782E-01  0.1301012E-02 -0.1003595E+00 -0.1505134E+01  0.1658365E+01 -0.1500120E-01
  0.3459942E+01 -0.4131257E-01  0.7899661E-03 -0.4981248E-01 -0.1505015E+01  0.1658004E+01 -0.1089571E-01
  0.3480151E+01 -0.3838363E-01  0.5430519E-03 -0.4751124E-02 -0.1504772E+01  0.1657837E+01 -0.9733267E-02
  0.3499842E+01 -0.3383486E-01  0.4174766E-03  0.3500074E-01 -0.1504472E+01  0.1658024E+01 -0.9302167E-02
  0.3520051E+01 -0.2900469E-01  0.3186353E-03  0.7450648E-01 -0.1504201E+01  0.1658558E+01 -0.7734735E-02
  0.3539742E+01 -0.2472999E-01  0.2758370E-03  0.1111762E+00 -0.1504015E+01  0.1659014E+01 -0.6166912E-02
  0.3559952E+01 -0.2019677E-01  0.2765488E-03  0.1456426E+00 -0.1503852E+01  0.1659002E+01 -0.6128738E-02
  0.3580161E+01 -0.1480688E-01  0.2826393E-03  0.1789822E+00 -0.1503627E+01  0.1658494E+01 -0.6927176E-02
  0.3599852E+01 -0.8950814E-02  0.3156445E-03  0.2144090E+00 -0.1503322E+01  0.1657826E+01 -0.6718508E-02
  0.3620062E+01 -0.3552142E-02  0.4110024E-03  0.2561694E+00 -0.1502988E+01  0.1657341E+01 -0.4818942E-02
  0.3639753E+01 -0.2488934E-03  0.5443808E-03  0.3014754E+00 -0.1502746E+01  0.1657316E+01 -0.1541963E-02
  0.3659962E+01  0.6081698E-03  0.7203717E-03  0.3494007E+00 -0.1502632E+01  0.1657729E+01  0.2921804E-02
  0.3680171E+01 -0.4285444E-03  0.9713926E-03  0.3930537E+00 -0.1502629E+01  0.1658204E+01  0.7062397E-02
  0.3699863E+01 -0.2210878E-02  0.1249869E-02  0.4262514E+00 -0.1502703E+01  0.1658239E+01  0.8441471E-02
